entity_text,thickness_mm,price_baseline,thick_plus10,price_plus10,pct_change_plus10,thick_minus10,price_minus10,pct_change_minus10
35A300,0.35,1.0,0.385,0.9090909090909091,-9.090909090909093,0.315,1.111111111111111,11.111111111111093
35HXT680,0.35,1.0,0.385,0.9090909090909091,-9.090909090909093,0.315,1.111111111111111,11.111111111111093
50H270,0.5,0.7,0.55,0.6363636363636362,-9.090909090909104,0.45,0.7777777777777777,11.111111111111093
35A210,0.35,1.0,0.385,0.9090909090909091,-9.090909090909093,0.315,1.111111111111111,11.111111111111093
50A470,0.5,0.7,0.55,0.6363636363636362,-9.090909090909104,0.45,0.7777777777777777,11.111111111111093
50A1300,0.5,0.7,0.55,0.6363636363636362,-9.090909090909104,0.45,0.7777777777777777,11.111111111111093
17A338,0.17,2.0588235294117645,0.18700000000000003,1.871657754010695,-9.090909090909093,0.15300000000000002,2.2875816993464047,11.111111111111093
NO20,0.2,1.7499999999999998,0.22000000000000003,1.5909090909090906,-9.090909090909093,0.18000000000000002,1.9444444444444442,11.111111111111116
35H series,0.35,1.0,0.385,0.9090909090909091,-9.090909090909093,0.315,1.111111111111111,11.111111111111093
20HTH1200,0.2,1.7499999999999998,0.22000000000000003,1.5909090909090906,-9.090909090909093,0.18000000000000002,1.9444444444444442,11.111111111111116
20HTH1500,0.2,1.7499999999999998,0.22000000000000003,1.5909090909090906,-9.090909090909093,0.18000000000000002,1.9444444444444442,11.111111111111116
20HTH1800,0.2,1.7499999999999998,0.22000000000000003,1.5909090909090906,-9.090909090909093,0.18000000000000002,1.9444444444444442,11.111111111111116
35H250,0.35,1.0,0.385,0.9090909090909091,-9.090909090909093,0.315,1.111111111111111,11.111111111111093
50H310,0.5,0.7,0.55,0.6363636363636362,-9.090909090909104,0.45,0.7777777777777777,11.111111111111093
50H600,0.5,0.7,0.55,0.6363636363636362,-9.090909090909104,0.45,0.7777777777777777,11.111111111111093
15HTH1000,0.15,2.3333333333333335,0.165,2.121212121212121,-9.090909090909104,0.135,2.592592592592592,11.111111111111093
15HST780Y,0.15,2.3333333333333335,0.165,2.121212121212121,-9.090909090909104,0.135,2.592592592592592,11.111111111111093
20HST570Y,0.2,1.7499999999999998,0.22000000000000003,1.5909090909090906,-9.090909090909093,0.18000000000000002,1.9444444444444442,11.111111111111116
20HST780Y,0.2,1.7499999999999998,0.22000000000000003,1.5909090909090906,-9.090909090909093,0.18000000000000002,1.9444444444444442,11.111111111111116
M270-50A,0.5,0.7,0.55,0.6363636363636362,-9.090909090909104,0.45,0.7777777777777777,11.111111111111093
M235-35A,0.35,1.0,0.385,0.9090909090909091,-9.090909090909093,0.315,1.111111111111111,11.111111111111093
M270-35A,0.35,1.0,0.385,0.9090909090909091,-9.090909090909093,0.315,1.111111111111111,11.111111111111093
17A319,0.17,2.0588235294117645,0.18700000000000003,1.871657754010695,-9.090909090909093,0.15300000000000002,2.2875816993464047,11.111111111111093
50A1000,0.5,0.7,0.55,0.6363636363636362,-9.090909090909104,0.45,0.7777777777777777,11.111111111111093
50A700,0.5,0.7,0.55,0.6363636363636362,-9.090909090909104,0.45,0.7777777777777777,11.111111111111093
50JNE300,0.5,0.7,0.55,0.6363636363636362,-9.090909090909104,0.45,0.7777777777777777,11.111111111111093
M300-35A,0.35,1.0,0.385,0.9090909090909091,-9.090909090909093,0.315,1.111111111111111,11.111111111111093
