canonical_entity,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014,2015-2019,2020-2024,2025-2029
bridge component,0,0,0,1,1,1,2,0
rotor,0,0,0,1,2,1,5,0
stator,1,0,0,1,2,1,5,0
